source, target, st_distance, weight, users
102, 9, 6747.44144305271, 1, 1
102, 149, 824.382762283507, 3, 3
102, 5, 5930.15660927082, 1, 1
102, 128, 6632.50969111921, 1, 1
102, 86, 1157.86084285699, 1, 1
102, 49, 192.010619915484, 18, 17
102, 1, 6657.21063557556, 1, 1
102, 114, 81.2897228615878, 12, 11
102, 98, 6556.9818104294, 1, 1
18, 151, 2155.99168814224, 1, 1
18, 93, 6820.38677337043, 1, 1
18, 0, 9504.88889384195, 2, 1
18, 66, 292.555374420425, 11, 11
18, 55, 9630.19782321555, 2, 1
18, 92, 9697.00261420075, 3, 2
77, 87, 5406.96714645537, 1, 1
77, 12, 6146.49933685107, 1, 1
77, 106, 5290.3244677957, 1, 1
151, 66, 2204.77516327966, 1, 1
120, 65, 2254.26415846589, 1, 1
120, 9, 385.122874786436, 1, 1
120, 28, 727.888396022475, 1, 1
120, 110, 2290.30836506621, 2, 2
120, 113, 12323.2638102849, 1, 1
120, 123, 3616.12010585428, 2, 1
120, 1, 370.507631969074, 2, 2
120, 79, 386.373277007009, 2, 2
120, 92, 2859.07497309722, 1, 1
95, 57, 3740.11791333756, 1, 1
95, 70, 1131.70203098016, 3, 2
95, 65, 10221.1102844648, 1, 1
95, 129, 1396.13060254195, 2, 2
95, 74, 946.698663881302, 6, 5
95, 58, 3095.65727317754, 1, 1
95, 150, 581.818384831907, 4, 4
95, 27, 1517.46082530459, 2, 2
95, 88, 1510.9774165592, 3, 3
95, 59, 1129.18894432586, 1, 1
95, 47, 1545.76536092447, 3, 3
95, 110, 10300.8399883675, 1, 1
95, 113, 1421.18221515776, 2, 2
95, 118, 10198.6975960237, 1, 1
95, 111, 747.608606584166, 8, 7
95, 33, 2733.61139368375, 1, 1
95, 148, 542.744155510357, 10, 5
95, 137, 1323.86751150918, 2, 2
95, 142, 450.402008774873, 5, 5
95, 50, 200.727289000092, 12, 8
95, 73, 7474.69813086372, 1, 1
95, 19, 1000.11314120568, 6, 5
95, 92, 8705.05172239271, 1, 1
57, 95, 3740.11791333756, 1, 1
57, 27, 2290.95532106368, 2, 2
57, 88, 2329.61131973471, 3, 3
57, 122, 9004.65164746815, 1, 1
57, 59, 2751.75041660191, 3, 3
57, 113, 2371.66053637358, 3, 3
57, 33, 1006.89932813963, 6, 6
57, 32, 9019.503141213, 1, 1
57, 137, 2491.43130306384, 3, 3
57, 43, 9213.16345323769, 1, 1
57, 135, 2971.74344627023, 1, 1
57, 19, 2916.31482108588, 1, 1
41, 8, 2557.22771233397, 1, 1
41, 128, 953.998626750836, 1, 1
41, 125, 3626.55226963809, 1, 1
41, 0, 2461.32075493211, 1, 1
41, 115, 1184.90065523491, 1, 1
41, 130, 3736.70519423204, 1, 1
41, 98, 864.254444428634, 2, 2
81, 41, 1372.01681377974, 1, 1
81, 25, 3580.9055146004, 1, 1
81, 8, 1559.25147220457, 1, 1
81, 118, 250.503850107244, 1, 1
81, 115, 2543.87532592328, 1, 1
81, 73, 3696.24986467148, 1, 1
81, 42, 2909.44725788525, 1, 1
70, 95, 1131.70203098016, 2, 2
70, 57, 2871.42733539381, 1, 1
