id, inweight_as_trajectories, outweight_as_trajectories, id, inweight_as_trajectories, outweight_as_trajectories
66, 10, 13, 18, 11, 21
66, 10, 13, 86, 4, 3
66, 10, 13, 33, 28, 25
135, 17, 11, 129, 42, 38
135, 17, 11, 70, 81, 94
135, 17, 11, 142, 56, 44
135, 17, 11, 150, 49, 44
135, 17, 11, 50, 33, 27
135, 17, 11, 59, 94, 101
135, 17, 11, 19, 111, 134
135, 17, 11, 137, 54, 63
135, 17, 11, 88, 104, 102
135, 17, 11, 74, 75, 78
48, 8, 10, 25, 13, 18
48, 8, 10, 55, 15, 9
48, 8, 10, 92, 23, 12
48, 8, 10, 78, 4, 4
48, 8, 10, 59, 94, 101
48, 8, 10, 0, 22, 13
93, 3, 3, 111, 56, 62
93, 3, 3, 33, 28, 25
93, 3, 3, 88, 104, 102
8, 7, 19, 25, 13, 18
8, 7, 19, 128, 25, 20
8, 7, 19, 55, 15, 9
8, 7, 19, 22, 19, 14
8, 7, 19, 70, 81, 94
8, 7, 19, 104, 16, 16
8, 7, 19, 81, 7, 3
8, 7, 19, 92, 23, 12
8, 7, 19, 42, 9, 8
8, 7, 19, 59, 94, 101
8, 7, 19, 98, 25, 27
8, 7, 19, 19, 111, 134
8, 7, 19, 49, 32, 33
8, 7, 19, 45, 3, 3
8, 7, 19, 118, 5, 4
113, 97, 102, 135, 17, 11
113, 97, 102, 8, 7, 19
113, 97, 102, 70, 81, 94
113, 97, 102, 142, 56, 44
113, 97, 102, 150, 49, 44
113, 97, 102, 27, 87, 85
113, 97, 102, 111, 56, 62
113, 97, 102, 95, 60, 68
113, 97, 102, 120, 9, 8
113, 97, 102, 33, 28, 25
113, 97, 102, 59, 94, 101
113, 97, 102, 19, 111, 134
113, 97, 102, 137, 54, 63
113, 97, 102, 57, 23, 15
113, 97, 102, 127, 6, 2
113, 97, 102, 88, 104, 102
113, 97, 102, 74, 75, 78
79, 5, 4, 107, 15, 15
79, 5, 4, 120, 9, 8
129, 42, 38, 135, 17, 11
129, 42, 38, 47, 25, 17
129, 42, 38, 70, 81, 94
129, 42, 38, 142, 56, 44
129, 42, 38, 150, 49, 44
129, 42, 38, 50, 33, 27
129, 42, 38, 111, 56, 62
129, 42, 38, 95, 60, 68
129, 42, 38, 59, 94, 101
129, 42, 38, 19, 111, 134
129, 42, 38, 137, 54, 63
129, 42, 38, 74, 75, 78
129, 42, 38, 148, 38, 28
25, 13, 18, 48, 8, 10
25, 13, 18, 55, 15, 9
25, 13, 18, 65, 13, 9
25, 13, 18, 73, 13, 12
25, 13, 18, 22, 19, 14
25, 13, 18, 16, 9, 7
25, 13, 18, 104, 16, 16
25, 13, 18, 92, 23, 12
25, 13, 18, 3, 14, 15
25, 13, 18, 0, 22, 13
25, 13, 18, 110, 16, 11
128, 25, 20, 5, 38, 40
128, 25, 20, 73, 13, 12
128, 25, 20, 22, 19, 14
128, 25, 20, 16, 9, 7
128, 25, 20, 104, 16, 16
128, 25, 20, 81, 7, 3
128, 25, 20, 9, 10, 10
128, 25, 20, 112, 5, 1
128, 25, 20, 98, 25, 27
128, 25, 20, 96, 13, 10
55, 15, 9, 92, 23, 12
55, 15, 9, 0, 22, 13
107, 15, 15, 79, 5, 4
107, 15, 15, 128, 25, 20
107, 15, 15, 65, 13, 9
107, 15, 15, 87, 16, 19
107, 15, 15, 92, 23, 12
107, 15, 15, 3, 14, 15
107, 15, 15, 118, 5, 4
107, 15, 15, 110, 16, 11
107, 15, 15, 96, 13, 10
107, 15, 15, 106, 25, 16
28, 11, 8, 43, 32, 29
28, 11, 8, 12, 13, 16
28, 11, 8, 120, 9, 8
28, 11, 8, 147, 12, 19
28, 11, 8, 106, 25, 16
28, 11, 8, 1, 15, 13
43, 32, 29, 5, 38, 40
43, 32, 29, 32, 21, 23
43, 32, 29, 22, 19, 14
43, 32, 29, 16, 9, 7
43, 32, 29, 104, 16, 16
43, 32, 29, 92, 23, 12
43, 32, 29, 125, 33, 35
43, 32, 29, 130, 37, 41
43, 32, 29, 33, 28, 25
43, 32, 29, 123, 3, 9
43, 32, 29, 122, 23, 22
43, 32, 29, 147, 12, 19
43, 32, 29, 106, 25, 16
5, 38, 40, 25, 13, 18
5, 38, 40, 128, 25, 20
5, 38, 40, 43, 32, 29
5, 38, 40, 32, 21, 23
5, 38, 40, 73, 13, 12
5, 38, 40, 114, 17, 22
5, 38, 40, 16, 9, 7
5, 38, 40, 87, 16, 19
5, 38, 40, 125, 33, 35
5, 38, 40, 3, 14, 15
5, 38, 40, 130, 37, 41
5, 38, 40, 78, 4, 4
5, 38, 40, 98, 25, 27
5, 38, 40, 102, 37, 39
5, 38, 40, 49, 32, 33
5, 38, 40, 147, 12, 19
5, 38, 40, 106, 25, 16
47, 25, 17, 129, 42, 38
47, 25, 17, 95, 60, 68
47, 25, 17, 148, 38, 28
65, 13, 9, 81, 7, 3
