comm, ce, te, cp, comm, nodes, edges, stops_as_trajectories, stops_as_users, pois, poi_types, avg_distance, moves_as_trajectories, moves_as_users, avg_stop_time, avg_move_time
1, 1, 8, 0.12500000000000000000, 1, 2, 1, 214, 147, 10, 3, 6.82060514570621, 1, 1, 4.99496914811594396086, 0.623333611157205
10, 2, 2, 1.00000000000000000000, 10, 2, 2, 43, 34, 7, 2, 0.142164710304284, 2, 2, 9.29700175246050246175, 1.3110425570412
100, 3, 5, 0.60000000000000000000, 100, 4, 3, 276, 195, 20, 7, 3.04768634838179, 1, 1, 6.64446148962940225577, 0.236111388868756
101, 1, 2, 0.50000000000000000000, 101, 2, 1, 175, 110, 10, 5, 2.89895420475828, 1, 1, 6.88493950759623475209, 1.80166750000583
102, 1, 5, 0.20000000000000000000, 102, 2, 1, 115, 93, 7, 5, 5.11777723288058, 1, 1, 6.39542305166088748333, 0.138611388868756
103, 1, 4, 0.25000000000000000000, 103, 2, 1, 199, 134, 11, 7, 6.01758893661772, 1, 1, 6.47424695818012763612, 0.285278055535422
104, 6, 18, 0.33333333333333333333, 104, 4, 6, 178, 100, 16, 5, 0.329343487309884, 33, 23, 4.88944450797444307993, 0.931184331483057
105, 4, 4, 1.00000000000000000000, 105, 3, 4, 137, 99, 9, 5, 2.69333529761221, 5, 4, 6.92460701098411456355, 1.0185772569312
106, 1, 8, 0.12500000000000000000, 106, 2, 1, 165, 130, 6, 3, 6.5569818104294, 1, 1, 3.81388564662089118565, 0.623333611157205
107, 5, 6, 0.83333333333333333333, 107, 6, 5, 535, 383, 28, 10, 2.91905329742463, 4, 4, 4.46742593501623886844, 1.39200066668457
108, 1, 2, 0.50000000000000000000, 108, 2, 1, 203, 156, 11, 4, 3.25868815046273, 1, 1, 6.07036469069916530157, 1.73555611107084
109, 7, 14, 0.50000000000000000000, 109, 4, 7, 233, 129, 17, 5, 0.795849552560927, 11, 8, 5.01181118601260024588, 1.2457802363054
11, 1, 2, 0.50000000000000000000, 11, 2, 1, 225, 144, 7, 4, 15.0545240138699, 1, 1, 7.64650578975680334495, 0.637778333293067
12, 4, 6, 0.66666666666666666667, 12, 4, 4, 257, 182, 16, 9, 4.52027581541284, 2, 2, 6.37246333482107225982, 0.722986527813805
13, 12, 12, 1.00000000000000000000, 13, 8, 12, 577, 337, 28, 9, 1.37595011079291, 7, 6, 6.81073713646007740992, 0.647245983793228
14, 1, 8, 0.12500000000000000000, 14, 2, 1, 168, 124, 7, 3, 6.63250969111922, 1, 1, 4.45670402874356915384, 0.623333611157205
15, 1, 2, 0.50000000000000000000, 15, 2, 1, 147, 99, 6, 5, 8.03385235125396, 1, 1, 6.46550188711178701308, 0.984722777737511
16, 1, 1, 1.00000000000000000000, 16, 2, 1, 142, 108, 7, 4, 5.95605510128582, 1, 1, 7.41619260155947379615, 0.418889166646534
17, 2, 2, 1.00000000000000000000, 17, 2, 2, 124, 108, 6, 3, 0.107639792034128, 9, 9, 5.88265552463090126077, 0.861034619986183
18, 1, 3, 0.33333333333333333333, 18, 2, 1, 171, 143, 6, 5, 1.75230440169228, 1, 1, 3.95702014920016078564, 0.574722500046094
19, 3, 9, 0.33333333333333333333, 19, 4, 3, 315, 202, 23, 8, 7.37321523463495, 1, 1, 6.68684189067947462195, 0.743333611090978
2, 3, 4, 0.75000000000000000000, 2, 4, 3, 400, 283, 16, 8, 2.6538520210351, 3, 3, 7.48404401216213743410, 0.885648611121707
