id, label, source, target, weight, users
434, , 66, 18, 11, 10
581, , 66, 86, 1, 1
573, , 66, 33, 1, 1
259, , 135, 129, 1, 1
645, , 135, 70, 1, 1
460, , 135, 142, 2, 2
162, , 135, 150, 1, 1
469, , 135, 50, 1, 1
513, , 135, 59, 1, 1
115, , 135, 19, 1, 1
331, , 135, 137, 1, 1
225, , 135, 88, 1, 1
560, , 135, 74, 1, 1
3, , 48, 25, 5, 5
449, , 48, 55, 1, 1
375, , 48, 92, 1, 1
413, , 48, 78, 1, 1
659, , 48, 59, 1, 1
186, , 48, 0, 1, 1
473, , 93, 111, 1, 1
44, , 93, 33, 1, 1
237, , 93, 88, 1, 1
53, , 8, 25, 1, 1
530, , 8, 128, 2, 2
547, , 8, 55, 1, 1
335, , 8, 22, 1, 1
368, , 8, 70, 1, 1
183, , 8, 104, 1, 1
160, , 8, 81, 1, 1
307, , 8, 92, 2, 2
147, , 8, 42, 2, 1
151, , 8, 59, 1, 1
170, , 8, 98, 2, 2
482, , 8, 19, 1, 1
337, , 8, 49, 1, 1
364, , 8, 45, 1, 1
551, , 8, 118, 1, 1
292, , 113, 135, 2, 2
480, , 113, 8, 1, 1
171, , 113, 70, 3, 2
246, , 113, 142, 2, 2
70, , 113, 150, 4, 4
523, , 113, 27, 25, 16
193, , 113, 111, 3, 3
428, , 113, 95, 2, 2
478, , 113, 120, 1, 1
258, , 113, 33, 2, 2
388, , 113, 59, 6, 6
583, , 113, 19, 4, 3
554, , 113, 137, 11, 10
242, , 113, 57, 4, 2
399, , 113, 127, 1, 1
62, , 113, 88, 29, 18
339, , 113, 74, 2, 1
28, , 79, 107, 3, 1
416, , 79, 120, 1, 1
93, , 129, 135, 1, 1
256, , 129, 47, 11, 7
352, , 129, 70, 3, 2
108, , 129, 142, 1, 1
514, , 129, 150, 1, 1
120, , 129, 50, 1, 1
330, , 129, 111, 3, 2
605, , 129, 95, 2, 2
163, , 129, 59, 1, 1
467, , 129, 19, 4, 2
54, , 129, 137, 1, 1
199, , 129, 74, 4, 2
262, , 129, 148, 5, 4
677, , 25, 48, 7, 6
355, , 25, 55, 1, 1
306, , 25, 65, 1, 1
453, , 25, 73, 2, 2
522, , 25, 22, 1, 1
411, , 25, 16, 1, 1
67, , 25, 104, 1, 1
459, , 25, 92, 1, 1
247, , 25, 3, 1, 1
25, , 25, 0, 1, 1
672, , 25, 110, 1, 1
118, , 128, 5, 1, 1
218, , 128, 73, 1, 1
97, , 128, 22, 1, 1
178, , 128, 16, 1, 1
299, , 128, 104, 1, 1
245, , 128, 81, 1, 1
9, , 128, 9, 1, 1
