id, count, sum
93, 4, 4
8, 19, 26
48, 11, 32
113, 29, 309
135, 22, 37
79, 6, 9
129, 27, 91
25, 20, 45
128, 21, 90
55, 11, 51
107, 18, 31
28, 17, 19
5, 33, 190
43, 30, 146
47, 14, 54
65, 13, 50
32, 23, 112
149, 7, 11
73, 25, 35
66, 6, 26
70, 36, 331
22, 30, 37
20, 9, 10
114, 7, 103
16, 15, 17
104, 29, 41
87, 24, 45
142, 29, 145
81, 16, 18
150, 31, 138
10, 2, 13
27, 28, 267
92, 24, 71
42, 22, 24
77, 4, 4
9, 9, 40
18, 10, 36
46, 8, 14
125, 25, 173
58, 12, 14
86, 11, 12
112, 3, 3
50, 26, 82
12, 24, 33
111, 25, 120
95, 40, 148
151, 3, 4
3, 29, 37
41, 7, 9
91, 3, 3
130, 23, 180
133, 10, 10
115, 7, 8
120, 13, 19
78, 11, 11
33, 26, 42
59, 31, 295
98, 26, 99
102, 15, 169
19, 39, 447
0, 22, 58
123, 14, 16
137, 27, 144
49, 17, 143
45, 4, 15
57, 19, 35
118, 15, 16
122, 19, 114
110, 17, 54
127, 7, 7
96, 13, 22
147, 21, 79
1, 10, 48
106, 25, 102
88, 36, 320
138, 1, 1
74, 35, 262
148, 24, 76
