node, degree, weight, avg_degree_neigh, avg_weight_neigh
0, 8, 24, 8.8750000000000000, 18.8750000000000000
1, 4, 23, 6.0000000000000000, 11.0000000000000000
10, 1, 6, 2.0000000000000000, 8.0000000000000000
102, 10, 89, 8.5000000000000000, 38.3000000000000000
104, 16, 24, 9.9375000000000000, 47.7500000000000000
106, 10, 49, 11.8000000000000000, 46.8000000000000000
107, 9, 14, 8.5555555555555556, 22.5555555555555556
110, 7, 24, 10.0000000000000000, 32.0000000000000000
111, 12, 66, 15.1666666666666667, 97.1666666666666667
113, 15, 151, 14.8000000000000000, 92.1333333333333333
114, 5, 48, 10.8000000000000000, 56.8000000000000000
115, 4, 5, 10.0000000000000000, 13.7500000000000000
118, 7, 7, 9.7142857142857143, 18.2857142857142857
12, 14, 18, 9.7142857142857143, 19.8571428571428571
120, 6, 9, 7.1666666666666667, 36.6666666666666667
122, 12, 61, 12.5833333333333333, 46.1666666666666667
123, 8, 9, 9.3750000000000000, 36.2500000000000000
125, 14, 85, 11.0714285714285714, 37.2142857142857143
128, 10, 43, 10.0000000000000000, 28.7777777777777778
129, 14, 48, 14.8571428571428571, 84.6428571428571429
130, 12, 90, 11.3333333333333333, 41.0833333333333333
133, 6, 6, 9.0000000000000000, 21.8333333333333333
135, 10, 13, 16.6000000000000000, 114.6000000000000000
137, 15, 72, 14.6000000000000000, 96.7333333333333333
138, 1, 1, 10.0000000000000000, 10.0000000000000000
142, 17, 74, 13.1764705882352941, 86.5882352941176471
147, 12, 44, 11.0909090909090909, 49.7272727272727273
148, 12, 35, 15.4166666666666667, 81.0000000000000000
149, 3, 5, 9.0000000000000000, 59.0000000000000000
150, 16, 69, 14.0000000000000000, 94.1875000000000000
151, 1, 2, 4.0000000000000000, 15.0000000000000000
16, 7, 9, 10.4285714285714286, 41.7142857142857143
18, 6, 20, 4.8333333333333333, 16.5000000000000000
19, 21, 236, 13.2857142857142857, 73.0476190476190476
20, 5, 6, 10.8000000000000000, 20.2000000000000000
22, 13, 15, 10.3076923076923077, 26.7692307692307692
25, 11, 22, 9.6363636363636364, 21.2727272727272727
27, 14, 129, 15.1428571428571429, 97.2857142857142857
28, 6, 8, 9.8333333333333333, 35.1666666666666667
3, 14, 16, 9.0000000000000000, 30.9230769230769231
32, 12, 55, 12.5833333333333333, 49.0000000000000000
33, 13, 19, 12.6153846153846154, 94.6153846153846154
41, 5, 7, 12.8000000000000000, 57.6000000000000000
42, 10, 10, 8.7000000000000000, 37.8000000000000000
43, 13, 68, 12.6923076923076923, 62.0000000000000000
45, 2, 8, 3.5000000000000000, 7.0000000000000000
46, 4, 7, 7.7500000000000000, 11.2500000000000000
47, 6, 25, 14.5000000000000000, 65.5000000000000000
48, 7, 19, 10.0000000000000000, 45.2857142857142857
49, 10, 77, 8.5000000000000000, 39.5000000000000000
5, 17, 97, 11.1176470588235294, 45.3529411764705882
50, 12, 41, 16.1666666666666667, 97.5833333333333333
55, 4, 25, 7.2500000000000000, 20.0000000000000000
57, 7, 11, 14.8571428571428571, 99.2857142857142857
58, 4, 5, 10.2500000000000000, 63.0000000000000000
59, 16, 155, 14.9375000000000000, 90.8750000000000000
65, 5, 25, 9.6000000000000000, 26.4000000000000000
66, 4, 15, 6.0000000000000000, 11.2500000000000000
70, 20, 170, 12.8000000000000000, 75.8000000000000000
73, 14, 21, 12.1538461538461538, 35.3076923076923077
74, 19, 131, 13.6315789473684211, 81.1578947368421053
77, 2, 2, 12.0000000000000000, 33.5000000000000000
78, 7, 7, 10.8571428571428571, 33.8571428571428571
79, 3, 5, 7.0000000000000000, 10.3333333333333333
8, 15, 20, 10.4666666666666667, 48.8666666666666667
81, 5, 5, 8.6000000000000000, 10.4000000000000000
86, 4, 4, 7.7500000000000000, 45.5000000000000000
87, 12, 25, 12.5833333333333333, 47.4166666666666667
88, 16, 150, 14.3750000000000000, 88.3750000000000000
9, 5, 20, 8.2000000000000000, 24.0000000000000000
92, 11, 32, 10.6363636363636364, 41.8181818181818182
93, 1, 1, 16.0000000000000000, 150.0000000000000000
95, 20, 78, 12.9000000000000000, 73.2000000000000000
96, 5, 10, 11.0000000000000000, 14.8000000000000000
98, 13, 50, 8.0833333333333333, 18.9166666666666667
