comm,nodes,edges,stops_as_trajectories,stops_as_users,pois,poi_types,avg_distance,moves_as_trajectories,moves_as_users,avg_stop_time,avg_move_time,comm,ce,te,cp
1,2,1,173,129,10,3,6.82060514570621,1,1,1.14929401268088419029,0.623333611157205,1,1,8,0.12500000000000000000
10,2,1,99,83,8,7,4.72859189689257,1,1,1.04655727221123562649,1.24944472226832,10,1,1,1.00000000000000000000
100,2,1,158,140,6,4,1.78089642195372,1,1,1.05228561749903213185,3.0319469443957,100,1,2,0.50000000000000000000
101,2,1,120,85,6,4,2.20477516327966,1,1,1.38414629657833282791,4.07027972221375,101,1,1,1.00000000000000000000
102,4,3,202,161,21,8,9.6082587713199,1,1,0.97795794508772666419,1.36555611113707,102,3,9,0.33333333333333333333
103,2,1,128,89,8,6,5.40696714645537,1,1,1.23259867547834065382,0.316666944424311,103,1,2,0.50000000000000000000
104,4,3,181,155,20,7,3.05984329107011,2,2,1.15927596233421560138,1.36097263888076,104,3,4,0.75000000000000000000
105,2,1,126,93,10,5,2.89895420475828,1,1,1.20427578069153703538,1.80166750000583,105,1,2,0.50000000000000000000
106,2,1,105,85,8,6,0.794237940383103,1,1,1.13975132617647587811,6.46639027780957,106,1,1,1.00000000000000000000
107,2,1,110,96,6,2,1.1816102185104,1,1,1.03016770222994870526,3.63166777776347,107,1,5,0.20000000000000000000
108,2,1,131,112,7,5,3.348238582468,1,1,1.18121259119094729273,0.303611388868756,108,1,1,1.00000000000000000000
109,5,7,192,119,20,5,0.431393886315413,19,14,1.09706927199000447793,1.4706279433271,109,7,19,0.36842105263157894737
11,2,1,97,72,7,4,6.65721063557556,1,1,0.94674751522815032193,0.679444999959734,11,1,4,0.25000000000000000000
110,2,1,148,118,6,3,6.55698181042941,1,1,1.00456168210989850408,0.623333611157205,110,1,8,0.12500000000000000000
111,20,212,1012,513,82,12,1.24867355609225,149,106,1.33658447601472223430,1.00428574399476,111,212,217,0.97695852534562211982
112,3,2,203,176,13,6,3.50661044343063,3,3,1.09613179871660387383,0.486320069448815,112,2,8,0.25000000000000000000
113,2,1,133,101,9,4,0.353832339170098,1,1,1.31321484620213433656,0.328889166646534,113,1,1,1.00000000000000000000
114,3,2,239,168,16,6,4.7160144503103,1,1,1.01771265780698518924,8.3188911110825,114,2,3,0.66666666666666666667
115,5,8,273,183,21,7,1.95706033528137,10,7,1.14598169111452059679,1.43601923612257,115,8,15,0.53333333333333333333
116,3,2,231,147,9,6,6.75782445053269,2,2,1.30067017596975401007,0.765694861147139,116,2,4,0.50000000000000000000
12,2,1,22,19,7,2,0.142164710304284,1,1,1.61730671296296296431,0.571389444404178,12,1,1,1.00000000000000000000
13,5,5,362,297,17,11,1.96060952257409,5,5,1.04427225621457482190,2.3116689444383,13,5,5,1.00000000000000000000
14,2,1,149,105,7,4,15.0545240138699,1,1,1.26411454396573444088,0.637778333293067,14,1,2,0.50000000000000000000
15,4,3,197,152,16,9,4.55050415656911,1,1,1.24008366608415332854,0.279444722268316,15,3,3,1.00000000000000000000
16,2,1,131,105,7,3,6.63250969111922,1,1,1.06702062560542736718,0.623333611157205,16,1,8,0.12500000000000000000
17,6,7,329,246,24,10,3.71752977197992,5,5,1.05666726187924935834,3.42567628968803,17,7,13,0.53846153846153846154
18,2,1,130,108,7,4,3.71368311888179,1,1,1.04897023653416257671,5.67805638889472,18,1,1,1.00000000000000000000
19,2,1,99,72,6,5,6.74744144305272,1,1,0.97687992934516588868,0.679444999959734,19,1,4,0.25000000000000000000
2,3,2,131,100,15,8,4.48818923075634,2,2,1.32508919366811624075,0.484861388901869,2,2,3,0.66666666666666666667
20,2,1,152,125,10,5,2.22338399065507,1,1,1.14886218497447310991,1.47444527778361,20,1,1,1.00000000000000000000
21,2,2,95,84,6,3,0.107639792034128,6,6,1.04935931899641577165,0.280305972211891,21,2,2,1.00000000000000000000
22,3,6,98,80,12,6,0.122173987053752,13,8,1.20496312542670489011,0.197906247490491,22,6,18,0.33333333333333333333
23,2,1,138,117,6,5,1.75230440169228,1,1,1.03284544159544159636,0.574722500046094,23,1,3,0.33333333333333333333
24,3,2,147,122,14,10,1.47324935581828,2,2,1.03185511072237064194,0.770417777796586,24,2,2,1.00000000000000000000
25,4,4,257,165,23,8,7.36090296500833,1,1,1.26162263873837603038,2.11562548610899,25,4,4,1.00000000000000000000
26,3,2,149,121,10,6,1.53369659845524,2,2,1.13301135711991926014,0.220555972192023,26,2,3,0.66666666666666666667
27,2,2,164,114,12,6,0.292555374420425,12,10,1.17484260324585780278,0.999180532406878,27,2,3,0.66666666666666666667
28,4,3,212,174,20,9,2.07803116458152,1,1,0.93919471184236338173,0.2936116666264,28,3,8,0.37500000000000000000
29,2,1,168,118,13,6,8.70505172239271,1,1,1.09694729752875424873,1.85916750000583,29,1,3,0.33333333333333333333
3,2,1,216,142,10,7,8.03509578151238,1,1,1.30336726466049382802,2.37500055551529,3,1,1,1.00000000000000000000
30,2,1,57,44,6,4,0.386373277007009,1,1,0.92171357982295482313,2.7775764465332e-07,30,1,1,1.00000000000000000000
31,2,1,133,105,10,7,3.23078402016693,1,1,1.06280712741919638359,9.08611305554708,31,1,2,0.50000000000000000000
32,2,1,81,71,6,4,5.3948476511675,1,1,0.99197683939443357360,0.426389166712761,32,1,1,1.00000000000000000000
33,2,1,157,120,11,7,7.47973470361973,1,1,1.04594548227863625198,0.896667222181956,33,1,1,1.00000000000000000000
34,3,6,128,103,12,8,0.152443246927073,7,6,0.91152145810423526392,0.692329157381146,34,6,18,0.33333333333333333333
35,2,1,179,136,10,6,4.61613472820298,1,1,0.97855083312938489075,8.3188911110825,35,1,3,0.33333333333333333333
36,3,2,226,201,9,8,1.2335300275141,2,2,0.89651115781372535185,4.42097430553701,36,2,2,1.00000000000000000000
37,2,1,117,78,7,5,6.14649933685107,1,1,1.25953966513639899924,0.821111388934983,37,1,1,1.00000000000000000000
38,2,2,55,46,7,5,0.0933929267592,5,5,0.98990864868491679885,0.235602175924513,38,2,2,1.00000000000000000000
39,21,74,1139,835,78,11,2.14920358428977,70,62,1.17357504848499705630,1.35754759705838,39,74,85,0.87058823529411764706
4,9,19,342,256,33,8,0.421037188447463,7,6,1.14353991532077271390,1.01659423243407,4,19,19,1.00000000000000000000
